"FID","tile","lat","lon"
140,"01FBE",-50.0937250304,179.40296136
141,"01FBE",-50.097160133,-179.830199845
142,"01FBF",-49.1957377131,179.441176704
143,"01FBF",-49.2006052793,-179.805976853
144,"01FBG",-48.2970794809,179.477560911
145,"01FBG",-48.302811998,-179.782899103
146,"01FCA",-53.7181951579,-179.183670167
147,"01FCA",-53.8911143278,179.977973521
148,"01FCB",-52.8229921758,-179.15352983
149,"01FCB",-53.2926573192,179.999551397
150,"01FCC",-51.9249694406,-179.110267173
151,"01FCD",-51.0262403247,-179.069174819
152,"01FCE",-50.1273484253,-179.030140726
153,"01FCF",-49.2288338256,-178.9930538
154,"01FCG",-48.3296185857,-178.957748302
155,"01FCU",-55.5392808937,179.914876996
156,"01FCU",-55.5148127267,-179.214594295
157,"01FCV",-54.6661729773,179.949082955
158,"01FCV",-54.6168164171,-179.198751765
159,"01FDA",-53.7396266363,-177.684411312
160,"01FDB",-52.8406415931,-177.670189533
161,"01FDC",-51.9420552177,-177.656712707
162,"01FDD",-51.0427878765,-177.643914658
163,"01FDE",-50.143378106,-177.631758203
164,"01FDF",-49.2443648988,-177.620208649
165,"01FDG",-48.3446684506,-177.609214301
166,"01FDU",-55.5366395552,-177.715282613
167,"01FDV",-54.6384719463,-177.699425298
168,"01FEA",-53.7386924088,-176.16792673
169,"01FEB",-52.839737287,-176.1852161
170,"01FEC",-51.9411796081,-176.201599875
171,"01FED",-51.0419398598,-176.217158503
172,"01FEE",-50.1425566374,-176.231937177
173,"01FEF",-49.2435689889,-176.245978069
174,"01FEG",-48.3438972091,-176.259344018
175,"01FEU",-55.5356414957,-176.13039676
176,"01FEV",-54.6375064953,-176.149674328
177,"01FFA",-53.7185805336,-174.652404136
178,"01FFB",-52.820269249,-174.70113775
179,"01FFC",-51.9223290877,-174.747321454
180,"01FFD",-51.0236831124,-174.791181545
181,"01FFE",-50.1248712121,-174.832845037
182,"01FFF",-49.2264336376,-174.872430457
183,"01FFG",-48.3272927384,-174.91011467
184,"01FFU",-55.5141562162,-174.546628594
185,"01FFV",-54.6167228049,-174.600959254
186,"01FGA",-53.6793721518,-173.140496235
187,"01FGB",-52.7823143495,-173.220467372
188,"01FGC",-51.8855765854,-173.296262732
189,"01FGD",-50.9880869116,-173.36825223
190,"01FGE",-50.0903877182,-173.436643063
191,"01FGF",-49.1930215789,-173.501628674
192,"01FGG",-48.2949148308,-173.563498441
193,"01GBH",-47.3982907859,179.512204057
194,"01GBH",-47.4045148912,-179.76091631
195,"01GBJ",-46.4999127024,179.545190973
196,"01GBJ",-46.5063692951,-179.739978566
197,"01GBK",-45.6008689111,179.576656875
198,"01GBK",-45.6073698646,-179.720002397
199,"01GBL",-44.7017012354,179.606669486
200,"01GBL",-44.7081036269,-179.700946271
201,"01GBM",-43.8029523471,179.635293096
202,"01GBM",-43.8091431694,-179.682770305
203,"01GBN",-42.9035471659,179.662636832
204,"01GBN",-42.9094326558,-179.665405807
205,"01GBP",-42.0040298257,179.688752212
206,"01GBP",-42.0095286881,-179.648820451
207,"01GBQ",-41.1049458104,179.713688528
208,"01GBQ",-41.1099840886,-179.632983179
209,"01GBR",-40.2052229734,179.737534874
210,"01GBR",-40.2097288601,-179.617837548
211,"01GCH",-47.4302427071,-178.924136093
212,"01GCJ",-46.5312466077,-178.892134217
213,"01GCK",-45.6315518556,-178.861610918
214,"01GCL",-44.7316988642,-178.832499991
215,"01GCM",-43.8322284849,-178.804738608
216,"01GCN",-42.932061898,-178.778220508
217,"01GCP",-42.0317400037,-178.752895342
218,"01GCQ",-41.1318041595,-178.728714946
219,"01GCR",-40.2311752277,-178.705592581
220,"01GDH",-47.4448279112,-177.598747644
221,"01GDJ",-46.5453828945,-177.588782782
222,"01GDK",-45.6452534515,-177.579278636
223,"01GDL",-44.7449793642,-177.570214541
224,"01GDM",-43.8451008941,-177.561570894
225,"01GDN",-42.9445379563,-177.553314573
226,"01GDP",-42.0438309875,-177.545429868
227,"01GDQ",-41.1435209013,-177.537901754
228,"01GDR",-40.2425274939,-177.530703199
229,"01GEH",-47.4440804873,-176.272068473
230,"01GEJ",-46.5446584816,-176.28418291
231,"01GEK",-45.6445513193,-176.295737268
232,"01GEL",-44.7442988166,-176.306756665
233,"01GEM",-43.8444412621,-176.31726493
234,"01GEN",-42.943898639,-176.327302329
235,"01GEP",-42.0432114068,-176.336887959
236,"01GEQ",-41.1429205013,-176.346040082
237,"01GER",-40.2419457738,-176.354791562
238,"01GFH",-47.4279886473,-174.945991714
239,"01GFJ",-46.5290619045,-174.980150102
240,"01GFK",-45.6294343128,-175.012730439
241,"01GFL",-44.729646382,-175.04380337
242,"01GFM",-43.8302390568,-175.073435931
243,"01GFN",-42.9301337111,-175.101741527
244,"01GFP",-42.0298713177,-175.128773885
245,"01GFQ",-41.1299933017,-175.154584396
246,"01GFR",-40.229420689,-175.179265637
247,"01GGH",-47.3966094305,-173.62240591
248,"01GGJ",-46.4986476261,-173.678495664
249,"01GGK",-45.5999544732,-173.731997928
250,"01GGL",-44.7010718269,-173.783028136
251,"01GGM",-43.8025418974,-173.831695867
252,"01GGN",-42.9032887619,-173.878186923
253,"01GGP",-42.0038543905,-173.922589147
254,"01GGQ",-41.1047811526,-173.964986596
255,"01GGR",-40.204992362,-174.00553102
256,"01HBA",-35.7066275022,179.841953301
257,"01HBA",-35.7072027202,-179.551508495
258,"01HBB",-34.8066319196,179.860192911
259,"01HBB",-34.8060479727,-179.539919298
260,"01HBC",-33.9067113513,179.87763785
261,"01HBC",-33.9047571587,-179.528833203
262,"01HBD",-33.0074877145,179.894310668
263,"01HBD",-33.0038740955,-179.518235238
264,"01HBE",-32.1080123268,179.910260889
265,"01HBE",-32.1023201785,-179.508092892
266,"01HBS",-39.3054099811,179.760330812
267,"01HBS",-39.3093107176,-179.603358498
268,"01HBT",-38.4060582052,179.782114467
269,"01HBT",-38.4092762916,-179.58952182
270,"01HBU",-37.5061029294,179.802959234
271,"01HBU",-37.5085503867,-179.576280843
272,"01HBV",-36.6061037649,179.822895647
273,"01HBV",-36.6076777008,-179.563616061
274,"01HCA",-35.7268669229,-178.604349412
275,"01HCB",-34.8253513269,-178.586662675
